Arrests for Offenses Described in Administrative Code 14-150(d),Unnamed: 1
Occuring in Transit Jurisdiction,
June 2019,
,
Section I - Transit Jurisdiction Arrests by Precinct,
001 Precinct,5.0
ASSAULT 3 & RELATED OFFENSES,3.0
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1.0
SEX CRIMES,1.0
006 Precinct,3.0
ASSAULT 3 & RELATED OFFENSES,3.0
010 Precinct,3.0
ASSAULT 3 & RELATED OFFENSES,3.0
013 Precinct,1.0
SEX CRIMES,1.0
014 Precinct,9.0
ASSAULT 3 & RELATED OFFENSES,3.0
OFFENSES AGAINST THE PERSON,1.0
SEX CRIMES,5.0
017 Precinct,1.0
SEX CRIMES,1.0
018 Precinct,3.0
ASSAULT 3 & RELATED OFFENSES,1.0
FELONY ASSAULT,1.0
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1.0
019 Precinct,4.0
ASSAULT 3 & RELATED OFFENSES,3.0
SEX CRIMES,1.0
020 Precinct,1.0
ASSAULT 3 & RELATED OFFENSES,1.0
025 Precinct,4.0
ASSAULT 3 & RELATED OFFENSES,2.0
FELONY ASSAULT,2.0
026 Precinct,1.0
ASSAULT 3 & RELATED OFFENSES,1.0
028 Precinct,1.0
FELONY ASSAULT,1.0
034 Precinct,2.0
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1.0
SEX CRIMES,1.0
040 Precinct,1.0
ASSAULT 3 & RELATED OFFENSES,1.0
044 Precinct,2.0
ASSAULT 3 & RELATED OFFENSES,2.0
060 Precinct,2.0
FELONY ASSAULT,2.0
070 Precinct,1.0
FELONY ASSAULT,1.0
071 Precinct,3.0
ASSAULT 3 & RELATED OFFENSES,2.0
FELONY ASSAULT,1.0
072 Precinct,1.0
ASSAULT 3 & RELATED OFFENSES,1.0
075 Precinct,3.0
ASSAULT 3 & RELATED OFFENSES,2.0
SEX CRIMES,1.0
077 Precinct,2.0
FELONY ASSAULT,2.0
079 Precinct,1.0
ASSAULT 3 & RELATED OFFENSES,1.0
083 Precinct,1.0
ASSAULT 3 & RELATED OFFENSES,1.0
084 Precinct,4.0
ASSAULT 3 & RELATED OFFENSES,4.0
088 Precinct,1.0
ASSAULT 3 & RELATED OFFENSES,1.0
100 Precinct,2.0
ASSAULT 3 & RELATED OFFENSES,2.0
106 Precinct,2.0
ASSAULT 3 & RELATED OFFENSES,2.0
107 Precinct,2.0
ASSAULT 3 & RELATED OFFENSES,2.0
108 Precinct,1.0
ASSAULT 3 & RELATED OFFENSES,1.0
109 Precinct,2.0
ASSAULT 3 & RELATED OFFENSES,1.0
FELONY ASSAULT,1.0
112 Precinct,2.0
ASSAULT 3 & RELATED OFFENSES,1.0
ROBBERY,1.0
115 Precinct,1.0
ASSAULT 3 & RELATED OFFENSES,1.0
Grand Total,72.0
,
Source: OMAP/ORS,
Note: Precincts with zero arrest activity for the month are not included in this report.,
